Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Maji PHCU,KMiWgRB2gSI,Maji PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Moli Tokuro PHCC,Z7t9FDlwbUf,Moli Tokuro PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Mugali Payam,Mugali PHCC,KOz5zP6qkMf,Mugali PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Nimule CDOT PHCC,kXHxoSUMNSY,Nimule CDOT PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Nimule HOSPITAL,dTANcKLxstU,Nimule HOSPITAL,   County Hospital,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Obbo PHCC,cWRCswspNvk,Obbo PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Ofiriha Magwi PHCU,yHNAmy8jqIb,Ofiriha Magwi PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Nimule Payam,Olikwi PHCU,Bt4Egre4hVC,Olikwi PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Omeo PHCU,XjmFWVLMWVk,Omeo PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Opari PHCC,zmEkkIh73Mg,Opari PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Orobe PHCU,bpmIPAdmgDM,Orobe PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,OWINYKIBUL PHCU,in75g93kOun,OWINYKIBUL PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,Pageri PHCC,i0oamO5BW0I,Pageri PHCC,   PHCC,Orange,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pajok Payam,Pajok PHCC,lSg8THL26vT,Pajok PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Magwi Payam,Palotaka PHCU,ftFknBejxCt,Palotaka PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Lobone Payam,Palwar PHCU,N2O4a2MhUZA,Palwar PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pageri Payam,PATIBI PHCU,TLvKcA9uuGR,PATIBI PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Eastern Equatoria State,Magwi County,Pajok Payam,Pogee PHCU,qHccRhwWAhP,Pogee PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Bilkey Payam,Akobo HOSPITAL,Wx8ppq2BBa0,Akobo HOSPITAL,   County Hospital,Orange,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Jalle Payam,Akuai Deng PHCU,mitMl2MBmQ5,Akuai Deng PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Bor Payam,Bor State Hospital,wesFmwsG9OY,Bor State Hospital,  State Hospital,Green,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Buong Payam,Buong PHCU,SB6MfvqEWRB,Buong PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Nyandit Payam,Burmath PHCU,BFUopdmj3O3,Burmath PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Pigi County,Mareng Payam,Canal PHCC,wLrEFZktgIJ,Canal PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Old Fangak Payam,Chotbora PHCU,lrKMUSG2Tic,Chotbora PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Jonglei State,Nyirol County,Chuil Payam,Chuil PHCC,StlCAld91dJ,Chuil PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Pigi County,Atar Payam,Diel PHCU,XcDJI5wUv8X,Diel PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Bilkey Payam,Dilule PHCU,ScinD5GRp61,Dilule PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Diror Payam,Diror PHCU,usv3OSUl8K1,Diror PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Duk County,Padiet Payam,Dorok PHCU,NHdlDlwaGrW,Dorok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Duk County,Payuel Payam,Duk Lost Boy Hospital,wSm8D2FGwtr,Duk Lost Boy Hospital,   County Hospital,Green,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Makuach Payam,Gakyuom PHCU,W9ZSCwpBL6Q,Gakyuom PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Pajiek Payam,Gorwai PHCC,oRGmGEPOblN,Gorwai PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Kurwai Payam,Haat PHCU,xBDvxV51rtO,Haat PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Jalle Payam,Jalle PHCC,esj324SvCIa,Jalle PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Wau Payam,Jiech / Wau PHCC,F1vLCeN1PtI,Jiech / Wau PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Manajang Payam,Juaibor PHCC,FOlQkO84SPy,Juaibor PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Akobo County,Walgak Payam,Kaikuiny PHCC,OmcZNdg3rzT,Kaikuiny PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Mogok Payam,Kandak PHCU,IipPtVuuu2V,Kandak PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Phom Payam,Keew PHCC,Bmkq76MEp4z,Keew PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Wau Payam,Kharmun PHCU,MseHO6OMtAk,Kharmun PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Twic East County,Lith Payam,Khiir PHCU,abRBI8F8a3d,Khiir PHCU,   PHCU,Green,#REF!,#REF!
